,STATE,STATUS,STATE SUMMARY,Source of Action,Name of Source,Type of Action,Order/declaration affects residential eviction/civil proceedings ,Hyperlink to Source (Not Included in State Summary Row),Date of Issue,Effective Date,Expiration Date ,Date Moratorium Began to Lift,Expired/Replaced,Prohibits law enforcement from executing new and past orders of eviction,"Status of non-emergency civil court proceedings 
",Remote hearings allowed in non-emergency civil cases ,"Applies to civil cases, which should include eviction cases ",Applies to eviction cases directly,Applies to commercial eviction directly,Applies to foreclosure or foreclosure eviction cases directly,"Exempts criminal activity, damage to property, emergency, nuisance or cases to protect public health from eviction freeze ",Only applies to certain eviction cases ,"If limited to certain eviction cases, the freeze only applies to these cases  
","Tolls, extends or stays court deadlines",Date to which deadlines are tolled,"Suspends all five stages of eviction (notice, filing, hearing, ruling, execution) ",1. Suspends Notice of Eviction to Tenant ,2. Suspends Filing of Eviction Claim,3. Suspends Hearings on Eviction ,"4. Stays Order, Judgment or Writ of Eviction ",5. Suspends enforcement of new order of eviction,Prohibits issuance of late fees to landlord ,Requires certification that property is not covered under CARES Act Moratorium,Order/Declaration discusses effect of housing on public health,Order/Declaration discusses economic consequences on housing,Model order,Brief Summary of What Order Does,Moratorium Extended Past Emergency Declaration,Free Utility Reconnection,No Utility Disconnection,No Reporting to Credit Bureau,Grace Period to Pay Rent,Length of Time for Grace Period,No Late Fees,"Length of Time for No Late Fees 
mm/dd/yyyy",Legal Counsel for Tenants,No Rent Raises,"Length of Time for No Rent Raises
mm/dd/yyyy",Foreclosure Moratorium,"Length of Time for Foreclosure Moratorium
mm/dd/yyyy",Housing Stabilization,Length of time for Housing Stabilization mm/dd/yyyy
,ALABAMA (AL) CURRENT SUMMARY,Evictions Can Resume (In Person),"The Governor had suspended enforcement of eviction orders for nonpayment of rent, but that order lapsed on June 1. Alabama also suspended in-person civil cases throughout the state, which should have applied to evictions and foreclosures, although it did allow remote proceedings. In person proceedings resumed on May 15. Cities/counties in the state have shied away from explicitly addressing evictions. However, several utility companies have announced that they will not suspend services to customers during the crisis in Birmingham, Decatur, Mobile, and Piedmont.",Court,,,Y,,,,6/1/20,5/15/20,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,5/15/20,N,N,N,N,N,N,N/A,N,N,N,N,,N,N,N,N,N,,N,,N,N,,N,,,
,ALABAMA (AL) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Court,Supreme Court,Eviction Moratorium,Y,AL_SupremeCourt_OrderNo7_051320,5/13/20,5/13/20,open,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,,In-person proceedings may begin after 5/15. Presiding Circuit Judges may choose to extend suspension of in-person proceedings until up to 8/15. No jury trials until 9/14/20.,,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Court,Supreme Court,Eviction Moratorium,Y,AL_SupremeCourt_ADMOrderNo.6_043020,4/30/20,4/30/20,5/15/20,5/15/20,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/15/20,N,N,N,Local Discretion,N,N,N,,N,N,N,"Extends declaration of emergency until 5/15. On 5/1, court can start prepping courtrooms for in-person proceedings. Remote proceedings continue to be encouraged.",,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Court,Supreme Court,Eviction Moratorium,Y,AL_SupremeCourt_OrderNo.5_040220,4/2/20,4/2/20,4/30/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,Y,4/30/20,N,N,N,Local Discretion,N,N,N/A,,N,N,N,Extends declaration of emergency until 4/30,,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Court,Supreme Court,Eviction Moratorium,Y,AL_SupremeCourt_OrderNo.2_031520,3/15/20,3/15/20,,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N,N/A,,N,N,N,"Clarifies that out-of-court activities in civil cases, e.g. depositions and medations, are not suspended",,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Court,Supreme Court,Eviction Moratorium,Y,AL_SupremeCourt_Order_031320,3/13/20,3/15/20,4/16/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,Y,4/20 (only court-imposed deadlines set to expire between 3/16 and 4/16),N,N,N,Local Discretion,N,N,N/A,,N,N,N,Declares state of emergency; suspends civil cases; clarifies that remote proceedings are allowed,,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Governor,Gov. Kay Ivey,Eviction Moratorium,,AL_Governor_ExecutiveOrder_052120,5/21/20,5/21/20,6/1/20,6/1/20,Y,Y,N/A,N/A,N/A,Y,N,N,N,Y,Non-payment,N,N/a,N,N,N,N,N,Y,N,N,Y,N,N,"Because the recovery is moving more quickly than anticipated, previously announced protections against eviction will end 06/01.",,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Governor,Gov. Kay Ivey,Eviction Moratorium,Y,AL_Governor_ExecutiveOrder_050820,5/8/20,5/8/20,7/8/20,,Y,Y,N/A,N/A,N/A,Y,N,N,N,Y,Non-payment,N,N/a,N,N,N,N,N,Y,N,N,Y,N,N,Extends governor order but limits it to eviction for nonpayment.,,,,,,,,,,,,,,,
,ALABAMA (AL) ,,,Governor,Gov. Kay Ivey,Eviction Moratorium,Y,AL_Governor Executive Order 040320,4/3/20,4/3/20,end of state of emergency,,Y,Y,N/A,N/A,N/A,Y,N,N,N,N,N/A,N,,N,N,N,N,N,Y,N,,Y,N,N,Governor declaration suspends enforcement of new and old orders of eviction.,,,,,,,,,,,,,,,
